red,green,blue,off,position,color
472,247,541,4,1,blue
473,154,468,15,2,blue
613,423,671,22,3,blue
520,344,298,130,4,red
665,424,388,24,5,red
714,225,179,1,6,red
768,356,326,3,7,red
565,315,779,0,8,green
572,163,581,1,9,green
595,274,610,9,10,green
422,171,471,62,11,green
692,229,650,5,12,yellow
686,196,637,4,13,yellow
543,122,575,16,14,yellow
671,189,604,42,15,yellow
411,140,361,1,0,blue
472,246,541,4,1,blue
478,155,472,11,2,blue
613,421,671,22,3,blue
519,340,296,132,4,red
664,423,387,25,5,red
712,222,177,4,6,red
768,356,326,3,7,red
565,315,780,0,8,green
574,165,582,0,9,green
592,272,606,12,10,green
422,171,471,62,11,green
694,232,653,3,12,yellow
685,193,636,6,13,yellow
544,120,575,16,14,yellow
673,187,604,42,15,yellow
412,140,361,1,0,blue
472,245,541,4,1,blue
474,155,469,14,2,blue
613,421,669,23,3,blue
519,342,297,131,4,red
666,425,388,24,5,red
714,225,179,1,6,red
769,356,327,3,7,red
565,314,781,0,8,green
574,163,581,1,9,green
595,274,610,9,10,green
423,171,472,61,11,green
694,231,651,4,12,yellow
686,195,636,5,13,yellow
544,124,576,15,14,yellow
670,189,601,44,15,yellow
411,141,360,1,0,blue
472,245,541,4,1,blue
476,154,469,13,2,blue
614,422,670,22,3,blue
519,341,296,132,4,red
664,422,386,25,5,red
712,223,178,3,6,red
767,356,326,3,7,red
564,314,779,0,8,green
574,164,581,0,9,green
593,273,606,11,10,green
424,173,473,60,11,green
694,232,653,3,12,yellow
686,194,637,5,13,yellow
543,120,575,16,14,yellow
674,188,605,40,15,yellow
411,140,361,1,0,blue
473,247,541,3,1,blue
475,155,469,13,2,blue
612,421,670,23,3,blue
518,342,298,131,4,red
665,424,388,24,5,red
714,226,180,2,6,red
767,355,325,4,7,red
564,316,779,0,8,green
573,164,581,0,9,green
593,274,608,10,10,green
422,171,472,61,11,green
696,233,655,1,12,yellow
684,195,637,5,13,yellow
542,121,575,16,14,yellow
671,186,603,43,15,yellow
412,140,362,0,0,blue
