red,green,blue,off,position,color
579,293,259,2,6,green
635,410,412,7,7,green
698,767,375,4,8,yellow
696,620,254,8,9,yellow
702,661,332,6,10,yellow
610,582,246,5,11,yellow
533,530,338,9,12,blue
516,549,304,13,13,blue
383,487,218,11,14,blue
606,571,287,11,15,blue
628,401,111,1,0,red
660,511,177,2,1,red
695,488,120,0,2,red
797,634,333,0,3,red
582,470,453,3,4,green
614,474,444,1,5,green
577,292,260,3,6,green
636,411,413,6,7,green
699,769,376,3,8,yellow
697,622,255,7,9,yellow
704,661,333,5,10,yellow
607,580,244,7,11,yellow
533,530,338,9,12,blue
518,550,306,11,13,blue
382,485,217,13,14,blue
608,573,290,9,15,blue
628,400,110,2,0,red
660,512,178,1,1,red
693,488,121,0,2,red
799,633,333,0,3,red
581,470,453,3,4,green
611,471,441,4,5,green
