red,green,blue,off,position,color
486,198,497,0,12,green
479,177,510,3,13,green
355,109,478,9,14,green
589,186,575,32,15,green
643,91,532,3,0,yellow
689,184,672,4,1,yellow
708,121,633,11,2,yellow
792,351,761,17,3,yellow
476,398,322,102,4,blue
590,467,390,13,5,blue
509,274,174,0,6,blue
579,380,313,1,7,blue
706,278,732,0,8,red
720,153,518,1,9,red
704,267,569,8,10,red
568,170,453,52,11,red
483,195,494,3,12,green
480,179,511,2,13,green
355,109,478,9,14,green
594,189,581,27,15,green
644,91,533,2,0,yellow
688,185,672,4,1,yellow
710,122,634,10,2,yellow
792,351,760,17,3,yellow
476,398,322,102,4,blue
588,467,390,13,5,blue
506,271,172,2,6,blue
579,382,315,0,7,blue
704,278,730,0,8,red
720,151,517,2,9,red
705,267,571,7,10,red
568,171,454,51,11,red
484,195,495,2,12,green
478,178,510,3,13,green
356,109,478,9,14,green
591,188,579,29,15,green
645,91,534,1,0,yellow
687,184,670,5,1,yellow
709,123,635,9,2,yellow
792,351,762,17,3,yellow
477,398,323,101,4,blue
589,466,391,13,5,blue
505,271,172,3,6,blue
579,382,315,0,7,blue
704,278,732,0,8,red
721,153,519,0,9,red
705,267,570,8,10,red
566,170,452,53,11,red
485,196,496,1,12,green
479,179,511,2,13,green
355,109,477,10,14,green
593,191,580,27,15,green
645,92,534,1,0,yellow
688,186,672,4,1,yellow
708,121,633,11,2,yellow
792,351,761,17,3,yellow
476,398,322,102,4,blue
590,467,391,12,5,blue
508,273,173,1,6,blue
579,382,314,0,7,blue
706,277,732,0,8,red
721,152,519,0,9,red
704,267,569,8,10,red
567,171,453,52,11,red
483,195,494,3,12,green
479,178,510,3,13,green
353,106,475,12,14,green
591,187,578,29,15,green
643,89,532,3,0,yellow
687,184,670,5,1,yellow
712,125,637,7,2,yellow
793,351,761,17,3,yellow
477,399,323,101,4,blue
590,468,392,12,5,blue
507,273,174,2,6,blue
578,381,314,1,7,blue
703,277,732,0,8,red
719,150,517,2,9,red
706,268,572,6,10,red
568,171,454,51,11,red
483,195,495,2,12,green
478,177,510,3,13,green
355,109,478,9,14,green
593,191,580,27,15,green
641,90,536,2,0,yellow
682,185,667,4,1,yellow
715,120,642,12,2,yellow
792,349,756,17,3,yellow
474,395,320,104,4,blue
589,462,388,13,5,blue
509,273,170,2,6,blue
580,392,318,0,7,blue
712,277,732,0,8,red
719,149,518,2,9,red
702,267,570,8,10,red
568,173,451,52,11,red
486,203,497,1,12,green
478,174,506,3,13,green
355,113,477,13,14,green
593,185,583,29,15,green
639,90,534,4,0,yellow
681,184,666,5,1,yellow
717,123,644,10,2,yellow
791,347,755,19,3,yellow
475,396,321,103,4,blue
589,462,388,13,5,blue
510,274,171,1,6,blue
578,390,316,2,7,blue
712,278,732,0,8,red
722,151,519,0,9,red
703,267,570,8,10,red
570,174,454,50,11,red
486,202,497,1,12,green
478,174,506,3,13,green
359,117,481,9,14,green
592,185,583,29,15,green
641,89,535,3,0,yellow
683,184,667,4,1,yellow
717,123,645,9,2,yellow
792,348,756,18,3,yellow
474,395,320,104,4,blue
588,461,387,14,5,blue
511,276,173,0,6,blue
579,391,317,1,7,blue
711,278,732,0,8,red
720,150,520,0,9,red
702,267,570,8,10,red
567,172,452,52,11,red
483,199,495,3,12,green
477,173,505,4,13,green
359,117,480,9,14,green
592,187,583,29,15,green
645,92,538,0,0,yellow
683,186,665,4,1,yellow
719,123,644,9,2,yellow
792,350,756,17,3,yellow
474,395,319,104,4,blue
586,459,385,16,5,blue
510,275,171,1,6,blue
579,391,317,1,7,blue
713,278,733,0,8,red
722,151,520,0,9,red
